"Date","SevenDayAverage","Baseline"
2019-01-26,294.919399822627,289.144357987584
2019-01-29,309.579121403892,288.552046004503
2019-02-03,313.13299330238,285.590486089096
2019-02-09,299.805973683049,283.813550139851
2019-02-14,279.371210266741,282.036614190607
2019-03-03,285.886642080636,271.374998495142
2019-03-26,268.487477577621,250.051767104212
2019-03-29,279.371210266741,246.497895205724
2019-03-31,274.040402419009,244.72095925648
2019-04-03,277.890430309038,241.167087357992
2019-04-08,277.594274317497,235.243967527178
2019-04-11,269.301906554358,232.282407611771
2019-04-14,271.078842503602,229.172769700594
2019-04-16,273.818285425353,228.728535713282
2019-04-19,278.186586300578,227.395833751349
2019-04-22,265.155722672788,228.728535713282
2019-04-25,261.601850774299,228.728535713282
2019-04-27,262.490318748922,229.172769700594
2019-05-06,259.824914825055,230.061237675216
2019-05-09,251.828703053457,230.505471662527
2019-05-12,257.75182288427,230.061237675216
2019-05-14,257.825861882156,230.505471662527
2019-05-17,267.376892609343,230.505471662527
2019-05-20,280.555834232904,230.505471662527
2019-05-23,269.894218537439,230.209315670986
2019-05-31,265.155722672788,228.728535713282
2019-06-06,258.047978875811,227.395833751349
2019-06-17,255.086418960404,228.728535713282
2019-06-23,259.528758833515,231.83817362446
2019-06-30,266.04419064741,237.168981472192
2019-07-15,261.779544369224,243.388257294547
2019-07-17,268.04324359031,242.944023307236
2019-07-20,290.032825962206,242.499789319925
2019-07-23,282.702965171574,240.722853370681
2019-07-25,278.482742292119,239.390151408747
2019-07-28,260.713382799677,237.613215459503
2019-07-30,264.563410689706,235.836279510259
2019-08-05,243.832491281858,232.726641599082
2019-08-08,250.940235078835,232.282407611771
2019-08-16,240.722853370681,231.690095628689
2019-08-19,265.451878664328,232.282407611771
2019-08-25,268.487477577621,234.059343561015
2019-08-27,265.155722672788,234.059343561015
2019-09-10,257.45566689273,238.057449446814
2019-09-13,260.713382799677,239.390151408747
2019-09-18,268.709594571276,242.944023307236
2019-09-24,263.378786723544,244.72095925648
2019-09-26,260.713382799677,246.497895205724
2019-09-29,272.855778452846,248.719065142279
2019-10-02,281.814497196952,250.051767104212
2019-10-10,285.886642080636,254.049872990012
2019-10-13,277.372157323841,255.826808939256
2019-10-18,283.280469355078,259.380680837744
2019-10-24,282.925082165229,261.157616786988
2019-10-26,284.257784127162,263.378786723544
2019-10-29,296.074408189636,264.711488685477
2019-11-01,292.994385877613,266.488424634721
2019-11-04,286.775110055258,267.821126596654
2019-11-06,287.071266046799,269.153828558587
2019-11-12,290.032825962206,272.707700457075
2019-11-15,300.25020767036,275.373104380942
2019-11-20,304.840625539241,282.036614190607
2019-11-22,294.179009843776,285.590486089096
2019-11-27,309.579121403892,292.698229886072
2019-11-30,329.569650832889,294.475165835316
2019-12-05,337.121628617176,301.582909632293
2019-12-10,346.598620346478,306.025249505404
2019-12-16,348.449595293608,307.357951467337
2019-12-18,350.448648236507,309.579121403892
2019-12-21,343.637060431072,309.134887416581
2019-12-25,338.543177376572,301.582909632293
2019-12-28,330.902352794822,299.805973683049
2020-01-25,262.782329889562,285.458674741717
2020-02-20,288.416458852868,280.529034556466
2020-02-23,288.416458852868,278.557178482366
2020-03-05,294.332027075169,272.641610260064
2020-03-11,287.430530815818,269.683826148913
2020-03-13,294.660669754186,268.204934093338
2020-03-16,314.790033843962,266.726042037763
2020-03-22,344.121392946206,259.824545778411
2020-03-24,353.980673316708,254.89490559316
2020-03-27,368.276629853937,251.444157463484
2020-03-29,382.07962237264,247.993409333808
2020-04-01,395.22532953331,246.021553259708
2020-04-04,401.798183113644,243.063769148557
2020-04-06,391.938902743142,239.120057000356
2020-04-09,380.107766298539,237.148200926256
2020-04-12,351.515853224083,232.218560741005
2020-04-14,331.797292483078,228.274848592804
2020-04-20,312.40737442109,227.288920555753
2020-04-23,303.205379408621,227.288920555753
2020-05-01,279.050142500891,228.274848592804
2020-05-10,260.810473815461,229.260776629854
2020-05-13,254.89490559316,230.246704666904
2020-05-16,257.195404346277,230.246704666904
2020-05-25,258.509975062344,229.260776629854
2020-06-03,250.622550765942,228.274848592804
2020-06-12,246.350195938725,227.288920555753
2020-06-14,251.937121482009,227.288920555753
2020-06-17,253.251692198076,229.260776629854
2020-06-23,272.970252939081,231.232632703954
2020-06-26,280.529034556466,233.69745279658
2020-06-29,264.261221945137,234.190416815105
2020-07-01,253.662495546847,237.148200926256
2020-07-07,265.082828642679,239.613021018881
2020-07-10,275.599394371215,242.077841111507
2020-07-12,278.557178482366,242.077841111507
2020-07-18,278.557178482366,242.077841111507
2020-07-22,278.885821161382,242.077841111507
2020-07-30,288.219273245458,236.162272889206
2020-08-01,287.430530815818,235.176344852155
2020-08-07,280.857677235483,232.218560741005
2020-08-16,271.984324902031,231.232632703954
2020-08-19,269.355183469897,231.232632703954
2020-08-22,265.411471321696,232.218560741005
2020-08-24,261.796401852512,232.218560741005
2020-08-28,272.641610260064,234.190416815105
2020-08-30,279.871749198432,235.176344852155
2020-09-02,278.557178482366,235.176344852155
2020-09-08,286.444602778767,236.162272889206
2020-09-11,296.632525828286,238.134128963306
2020-09-14,296.30388314927,238.134128963306
2020-09-17,289.402386889918,239.613021018881
2020-09-25,289.402386889918,245.035625222658
2020-10-01,292.360171001069,247.993409333808
2020-10-03,306.820448877805,248.979337370859
2020-10-06,306.820448877805,250.951193444959
2020-10-09,299.26166726042,252.923049519059
2020-10-12,293.346099038119,253.90897755611
2020-10-15,294.085545065907,254.89490559316
2020-10-21,305.177235482722,258.838617741361
2020-11-01,306.820448877805,264.261221945137
2020-11-04,310.106875667973,265.740114000712
2020-11-06,306.163163519772,267.219006056288
2020-11-15,311.42144638404,272.148646241539
2020-11-18,314.543551834699,275.599394371215
2020-11-23,304.684271464197,281.514962593516
2020-11-25,301.726487353046,285.458674741717
2020-11-28,311.42144638404,288.909422871393
2020-12-01,319.966156038475,292.360171001069
2020-12-12,321.609369433559,305.177235482722
2020-12-18,319.637513359458,306.656127538297
2020-12-20,330.811364446028,305.177235482722
2020-12-25,370.248485928037,303.205379408621
2021-01-28,340.54232523169,312.557166440562
2021-02-01,334.028538271686,306.284630849447
2021-02-05,317.86469655612,303.148363053889
2021-02-09,305.078374005002,295.42831924944
2021-02-12,308.697144538337,292.533302822772
2021-02-16,314.487177391674,286.260767231657
2021-02-20,308.938395907226,283.848253542767
2021-02-24,290.36204050277,280.953237116098
2021-03-11,289.155783658325,268.649417302757
2021-03-15,286.562331442768,265.754400876089
2021-03-19,274.439450156094,265.754400876089
2021-03-27,283.124499436099,267.201909089423
2021-03-30,295.42831924944,272.99194194276
2021-04-03,291.809548716105,273.715696049427
2021-04-07,289.433631521003,271.544433729426
2021-04-10,291.303300723702,271.544433729426
2021-04-14,294.234271555286,272.268187836093
2021-04-18,295.042259246837,273.233193311649
2021-04-22,290.542979029437,272.268187836093
2021-04-26,283.607002173878,272.268187836093
2021-04-30,290.36204050277,274.921952893872
2021-05-04,294.733300855531,272.268187836093
2021-05-08,292.050800084994,272.268187836093
2021-05-12,285.054510387212,271.544433729426
2021-05-15,282.038868276099,272.268187836093
2021-05-19,285.863757355598,273.353818996094
2021-05-24,296.152073356107,274.198198787205
2021-05-27,313.522171916118,278.781974796097
2021-05-30,334.269789640575,280.229483009431
2021-06-04,332.339778689462,279.264477533875
2021-06-07,327.99725404946,281.676991222765
2021-06-11,330.168516369461,283.607002173878
2021-06-15,333.245795466301,285.295761756101
2021-06-19,334.158471113651,288.673280920547
2021-06-23,331.073209002795,292.533302822772
2021-06-27,326.911622889459,295.187067880551
2021-06-30,336.343847096605,299.770843889443
2021-07-04,349.709877249473,302.424608947222
2021-07-07,353.811150520586,307.008384956114
2021-07-11,354.776155996143,311.350909596116
2021-07-15,372.729422958735,313.522171916118
2021-07-19,402.905804089505,310.446216962783
2021-07-23,420.637779702849,305.56087674278
2021-07-26,381.072555205047,297.358330200552
2021-07-30,339.2154427028,293.980811036106
2021-08-03,331.254147529462,286.984521338324
2021-08-07,331.616024582795,282.400745329432
2021-08-10,339.577319756133,275.886958369428
2021-08-14,338.371062911688,272.268187836093
2021-08-18,329.203510893905,267.92566319609
2021-08-21,340.059822493912,269.373171409425
2021-08-25,341.024827969468,272.268187836093
2021-08-29,332.581030058351,273.715696049427
2021-09-01,335.958549222798,273.353818996094
2021-09-06,377.453784671712,273.233193311649
2021-09-10,368.04498128504,273.715696049427
2021-09-13,340.059822493912,276.610712476096
2021-09-18,323.654729409457,276.369461107207
2021-09-21,321.242215720567,280.953237116098
2021-09-25,328.721008156127,283.124499436099
2021-09-29,324.378483516124,286.743269969435
2021-10-03,338.689347851909,288.914532289436
2021-10-06,352.122390938363,292.171425769438
2021-10-10,343.919844396136,295.669570618329
2021-10-14,345.608603978359,297.358330200552
2021-10-18,356.58554126281,300.49459799611
2021-10-22,367.562478547261,301.218352102777
2021-10-26,364.184959382815,302.183357578333
2021-10-30,367.80372991615,302.665860316111
2021-11-03,353.569899151697,304.113368529445
2021-11-07,347.538614929472,304.113368529445
2021-11-11,358.877429267256,305.56087674278
2021-11-15,350.916134093918,306.767133587225
2021-11-18,338.853565649466,309.541524329449
2021-11-22,343.678593027247,317.140942449453
2021-11-25,347.779866298361,321.483467089456
2021-11-29,356.223664209477,329.927265000572
2021-12-03,372.30080034507,334.511041009464
2021-12-06,382.761314787271,343.196090289469
2021-12-09,369.070299602818,348.262369036139
2021-12-17,339.094817018355,360.566188849479
2021-12-24,373.593762769487,364.908713489482
2021-12-28,395.547637338389,359.842434742812
2021-12-31,401.458295876171,357.9124237917
2022-01-04,378.660041516157,351.881139569474
2022-01-11,351.158936085214,346.814860822804
2022-01-15,328.962259525016,343.919844396136
2022-01-19,315.548683414786,339.818571125022
2022-01-23,NA,333.425409849463
2022-01-27,NA,328.721008156127
2022-01-30,NA,322.207221196123
2022-02-02,NA,318.588450662787
2022-02-06,NA,312.557166440562
2022-02-09,NA,309.179647276115
2022-02-13,NA,301.942106209444
